1,1,Greeting and Questions,التحية و السؤال,GreetingsAndQuestions.png
1,2,Letters and Numbers,الحروف و الارقام,LettersAndNumbers.png
1,3,Time and Locations,المكان و الزمان,TimeAndLocations.png
1,4,Feeling and Emotion,الأحاسيس و المشاعر,FeelingsAndEmotions.png
1,5,Directions,التوجيه,Directions.png
2,6,At Home,في المنزل,AtHome.png
2,7,At Restaurant,في المطعم,AtRestaurant.png
2,8,At Mall,في السوق,AtMall.png
2,9,At Street,في الشارع,AtStreet.png
2,10,At University,في الجامعة,AtUniversity.png
3,11,Our Words,رمستنا ,OurWords.png
3,12,Our Anthem,نشيدنا ,OurAnthem.png
3,13,Our Emirates,إماراتنا,OurEmirates.png
3,14,Our Leaders,قادتنا,OurLeaders.png
3,15,Our Cities,مدننا,OurCities.png
4,16,The Idea,الفكرة,TheIdea.png
4,17,The Development,التنفيذ,TheDevelopment.png
4,18,The Support,الدعم,TheSupport.png
4,19,The Volunteers,المتطوعين,TheVolunteers.png
4,20,The Organizations,المؤسسات,TheOrganizations.png